Athlete Name,Country,Gold_medals,Silver_medals,Bronze_medals,Total_medals,Year,Season
Merel Smulders,Netherlands,0,0,1,1,2020,summer
Femke Bol,Netherlands,0,0,1,1,2020,summer
Lisa Scheenaard,Netherlands,0,0,1,1,2020,summer
Emma Oosterwegel,Netherlands,0,0,1,1,2020,summer
Nouchka Fontijn,Netherlands,0,0,1,1,2020,summer
Annette Duetz,Netherlands,0,0,1,1,2020,summer
Annemiek Bekkering,Netherlands,0,0,1,1,2020,summer
Anna van der Breggen,Netherlands,0,0,1,1,2020,summer
Ilse Paulis,Netherlands,0,0,1,1,2020,summer
Marit Bouwmeester,Netherlands,0,0,1,1,2020,summer
Christian Kukuk,Germany,0,0,1,1,2020,summer
Kirsten Wild,Netherlands,0,0,1,1,2020,summer
Bolortuya Bat-Ochir,Mongolia,0,0,1,1,2020,summer
Tsogtbaatar Tsend-Ochir,Mongolia,0,0,1,1,2020,summer
Urantsetseg Munkhbat,Mongolia,0,0,1,1,2020,summer
Serghei Tarnovschi,Moldova,0,0,1,1,2020,summer
Luis Alvarez Murillo,Mexico,0,0,1,1,2020,summer
Aremi Fuentes,Mexico,0,0,1,1,2020,summer
Gabriela Agúndez,Mexico,0,0,1,1,2020,summer
Alejandra Valencia,Mexico,0,0,1,1,2020,summer
Alejandra Orozco,Mexico,0,0,1,1,2020,summer
Arturs Plesnieks,Latvia,0,0,1,1,2020,summer
Meerim Zhumanazarova,Kyrgyzstan,0,0,1,1,2020,summer
Abdullah Alrashidi,Kuwait,0,0,1,1,2020,summer
Benjamin Kigen,Kenya,0,0,1,1,2020,summer
Hyvin Kiyeng Jepkemoi,Kenya,0,0,1,1,2020,summer
Kamshybek Kunkabayev,Kazakhstan,0,0,1,1,2020,summer
