Athlete Name,Country,Gold_medals,Silver_medals,Bronze_medals,Total_medals,Year,Season
Saken Bibossinov,Kazakhstan,0,0,1,1,2020,summer
Igor Son,Kazakhstan,0,0,1,1,2020,summer
Nurislam Sanayev,Kazakhstan,0,0,1,1,2020,summer
Yeldos Smetov,Kazakhstan,0,0,1,1,2020,summer
Zulfiya Chinshanlo,Kazakhstan,0,0,1,1,2020,summer
Shohei Yabiku,Japan,0,0,1,1,2020,summer
Tsukasa Yoshida,Japan,0,0,1,1,2020,summer
Ryomei Tanaka,Japan,0,0,1,1,2020,summer
Tsukimi Namiki,Japan,0,0,1,1,2020,summer
Yuta Watanabe,Japan,0,0,1,1,2020,summer
Arisa Higashino,Japan,0,0,1,1,2020,summer
Yuki Kawata,Japan,0,0,1,1,2020,summer
Hiroki Muto,Japan,0,0,1,1,2020,summer
Funa Nakayama,Japan,0,0,1,1,2020,summer
Amuro Tsuzuki,Japan,0,0,1,1,2020,summer
Akiyo Noguchi,Japan,0,0,1,1,2020,summer
Toshikazu Yamanishi,Japan,0,0,1,1,2020,summer
Mikiko Andoh,Japan,0,0,1,1,2020,summer
Mai Murakami,Japan,0,0,1,1,2020,summer
Ronald Levy,Jamaica,0,0,1,1,2020,summer
Junelle Bromfield,Jamaica,0,0,1,1,2020,summer
Candice McLeod,Jamaica,0,0,1,1,2020,summer
Megan Tapper,Jamaica,0,0,1,1,2020,summer
Stacey Ann Williams,Jamaica,0,0,1,1,2020,summer
Roneisha Mcgregor,Jamaica,0,0,1,1,2020,summer
Janieve Russell,Jamaica,0,0,1,1,2020,summer
Abraham Conyedo,Italy,0,0,1,1,2020,summer
Viviana Bottaro,Italy,0,0,1,1,2020,summer
Maria Centracchio,Italy,0,0,1,1,2020,summer
